Label,Value,Active?,
Accounting,ACCOUNTING,N,
Airlines/Aviation,AIRLINES_AVIATION,Y,
Alternative Dispute Resolution,ALTERNATIVE_DISPUTE_RESOLUTION,Y,
Alternative Medicine,ALTERNATIVE_MEDICINE,Y,
Animation,ANIMATION,Y,
Apparel & Fashion,APPAREL_FASHION,Y,
Architecture & Planning,ARCHITECTURE_PLANNING,Y,
Arts and Crafts,ARTS_AND_CRAFTS,Y,
Automotive,AUTOMOTIVE,Y,
Aviation & Aerospace,AVIATION_AEROSPACE,Y,
Banking,BANKING,Y,
Biotechnology,BIOTECHNOLOGY,Y,
Broadcast Media,BROADCAST_MEDIA,Y,
Building Materials,BUILDING_MATERIALS,Y,
Business Supplies and Equipment,BUSINESS_SUPPLIES_AND_EQUIPMENT,Y,
Capital Markets,CAPITAL_MARKETS,Y,
Chemicals,CHEMICALS,Y,
Civic & Social Organization,CIVIC_SOCIAL_ORGANIZATION,Y,
Civil Engineering,CIVIL_ENGINEERING,Y,
Commercial Real Estate,COMMERCIAL_REAL_ESTATE,Y,
Computer & Network Security,COMPUTER_NETWORK_SECURITY,Y,
Computer Games,COMPUTER_GAMES,Y,
Computer Hardware,COMPUTER_HARDWARE,Y,
Computer Networking,COMPUTER_NETWORKING,Y,
Computer Software,COMPUTER_SOFTWARE,Y,
Internet,INTERNET,Y,
Construction,CONSTRUCTION,Y,
Consumer Electronics,CONSUMER_ELECTRONICS,Y,
Consumer Goods,CONSUMER_GOODS,Y,
Consumer Services,CONSUMER_SERVICES,Y,
Cosmetics,COSMETICS,Y,
Dairy,DAIRY,Y,
Defense & Space,DEFENSE_SPACE,Y,
Design,DESIGN,Y,
Education Management,EDUCATION_MANAGEMENT,Y,
E-Learning,E_LEARNING,Y,
Electrical/Electronic Manufacturing,ELECTRICAL_ELECTRONIC_MANUFACTURING,Y,
Entertainment,ENTERTAINMENT,Y,
Environmental Services,ENVIRONMENTAL_SERVICES,Y,
Events Services,EVENTS_SERVICES,Y,
Executive Office,EXECUTIVE_OFFICE,Y,
Facilities Services,FACILITIES_SERVICES,Y,
Farming,FARMING,Y,
Financial Services,FINANCIAL_SERVICES,Y,
Fine Art,FINE_ART,Y,
Fishery,FISHERY,Y,
Food & Beverages,FOOD_BEVERAGES,Y,
Food Production,FOOD_PRODUCTION,Y,
Fund-Raising,FUND_RAISING,Y,
Furniture,FURNITURE,Y,
Gambling & Casinos,GAMBLING_CASINOS,Y,
Glass, Ceramics & Concrete,GLASS_CERAMICS_CONCRETE,Y
Government Administration,GOVERNMENT_ADMINISTRATION,Y,
Government Relations,GOVERNMENT_RELATIONS,Y,
Graphic Design,GRAPHIC_DESIGN,Y,
Health, Wellness and Fitness,HEALTH_WELLNESS_AND_FITNESS,Y
Higher Education,HIGHER_EDUCATION,Y,
Hospital & Health Care,HOSPITAL_HEALTH_CARE,Y,
Hospitality,HOSPITALITY,Y,
Human Resources,HUMAN_RESOURCES,Y,
Import and Export,IMPORT_AND_EXPORT,Y,
Individual & Family Services,INDIVIDUAL_FAMILY_SERVICES,Y,
Industrial Automation,INDUSTRIAL_AUTOMATION,Y,
Information Services,INFORMATION_SERVICES,Y,
Information Technology and Services,INFORMATION_TECHNOLOGY_AND_SERVICES,Y,
Insurance,INSURANCE,Y,
International Affairs,INTERNATIONAL_AFFAIRS,Y,
International Trade and Development,INTERNATIONAL_TRADE_AND_DEVELOPMENT,Y,
Investment Banking,INVESTMENT_BANKING,Y,
Investment Management,INVESTMENT_MANAGEMENT,Y,
Judiciary,JUDICIARY,Y,
Law Enforcement,LAW_ENFORCEMENT,Y,
Law Practice,LAW_PRACTICE,Y,
Legal Services,LEGAL_SERVICES,Y,
Legislative Office,LEGISLATIVE_OFFICE,Y,
Leisure, Travel & Tourism,LEISURE_TRAVEL_TOURISM,Y
Libraries,LIBRARIES,Y,
Logistics and Supply Chain,LOGISTICS_AND_SUPPLY_CHAIN,Y,
Luxury Goods & Jewelry,LUXURY_GOODS_JEWELRY,Y,
Machinery,MACHINERY,Y,
Management Consulting,MANAGEMENT_CONSULTING,Y,
Maritime,MARITIME,Y,
Market Research,MARKET_RESEARCH,Y,
Marketing and Advertising,MARKETING_AND_ADVERTISING,Y,
Mechanical or Industrial Engineering,MECHANICAL_OR_INDUSTRIAL_ENGINEERING,Y,
Media Production,MEDIA_PRODUCTION,Y,
Medical Devices,MEDICAL_DEVICES,Y,
Medical Practice,MEDICAL_PRACTICE,Y,
Mental Health Care,MENTAL_HEALTH_CARE,Y,
Military,MILITARY,Y,
Mining & Metals,MINING_METALS,Y,
Motion Pictures and Film,MOTION_PICTURES_AND_FILM,Y,
Museums and Institutions,MUSEUMS_AND_INSTITUTIONS,Y,
Music,MUSIC,Y,
Nanotechnology,NANOTECHNOLOGY,Y,
Newspapers,NEWSPAPERS,Y,
Non-Profit Organization Management,NON_PROFIT_ORGANIZATION_MANAGEMENT,Y,
Oil & Energy,OIL_ENERGY,Y,
Online Media,ONLINE_MEDIA,Y,
Outsourcing/Offshoring,OUTSOURCING_OFFSHORING,Y,
Package/Freight Delivery,PACKAGE_FREIGHT_DELIVERY,Y,
Packaging and Containers,PACKAGING_AND_CONTAINERS,Y,
Paper & Forest Products,PAPER_FOREST_PRODUCTS,Y,
Performing Arts,PERFORMING_ARTS,Y,
Pharmaceuticals,PHARMACEUTICALS,Y,
Philanthropy,PHILANTHROPY,Y,
Photography,PHOTOGRAPHY,Y,
Plastics,PLASTICS,Y,
Political Organization,POLITICAL_ORGANIZATION,Y,
Primary/Secondary Education,PRIMARY_SECONDARY_EDUCATION,Y,
Printing,PRINTING,Y,
Professional Training & Coaching,PROFESSIONAL_TRAINING_COACHING,Y,
Program Development,PROGRAM_DEVELOPMENT,Y,
Public Policy,PUBLIC_POLICY,Y,
Public Relations and Communications,PUBLIC_RELATIONS_AND_COMMUNICATIONS,Y,
Public Safety,PUBLIC_SAFETY,Y,
Publishing,PUBLISHING,Y,
Railroad Manufacture,RAILROAD_MANUFACTURE,Y,
Ranching,RANCHING,Y,
Real Estate,REAL_ESTATE,Y,
Recreational Facilities and Services,RECREATIONAL_FACILITIES_AND_SERVICES,Y,
Religious Institutions,RELIGIOUS_INSTITUTIONS,Y,
Renewables & Environment,RENEWABLES_ENVIRONMENT,Y,
Research,RESEARCH,Y,
Restaurants,RESTAURANTS,Y,
Retail,RETAIL,Y,
Security and Investigations,SECURITY_AND_INVESTIGATIONS,Y,
Semiconductors,SEMICONDUCTORS,Y,
Shipbuilding,SHIPBUILDING,Y,
Sporting Goods,SPORTING_GOODS,Y,
Sports,SPORTS,Y,
Staffing and Recruiting,STAFFING_AND_RECRUITING,Y,
Supermarkets,SUPERMARKETS,Y,
Telecommunications,TELECOMMUNICATIONS,Y,
Textiles,TEXTILES,Y,
Think Tanks,THINK_TANKS,Y,
Tobacco,TOBACCO,Y,
Translation and Localization,TRANSLATION_AND_LOCALIZATION,Y,
Transportation/Trucking/Railroad,TRANSPORTATION_TRUCKING_RAILROAD,Y,
Utilities,UTILITIES,Y,
Venture Capital & Private Equity,VENTURE_CAPITAL_PRIVATE_EQUITY,Y,
Veterinary,VETERINARY,Y,
Warehousing,WAREHOUSING,Y,
Wholesale,WHOLESALE,Y,
Wine and Spirits,WINE_AND_SPIRITS,Y,
Wireless,WIRELESS,Y,
Writing and Editing,WRITING_AND_EDITING,Y,
Mobile Games,MOBILE_GAMES,Y,
